name,industry
KOSMONTE FOODS TIRANA SHPK,CONSUMER STAPLES
RIGERS KONSTRUKSION  SHPK,INDUSTRIALS
FINTRADE SHPK,INDUSTRIALS
SHPRESA AL COMPUTER SHPK,CONSUMER DISCRETIONARY
EURO BALKANS NEWS SHPK,COMMUNICATIONS
NOVAL SHPK,HEALTH CARE
EUROCHROME SHPK,MATERIALS
GSA SHPK,UTILITIES
GROUP JOTI SHA,ENERGY
KESH KORP.ELEKTROENERGJITIKE SHQIP,UTILITIES
FURNIZUES I SHERBIMIT UNIVERSAL SHA,UTILITIES
SALVUS AL SHPK,HEALTH CARE
B-SERVICE SHPK,CONSUMER DISCRETIONARY
HIDROPOWER ELEKTRIK SHPK,NOT RELEVANT
ASAB SHPK,MATERIALS
APM shpk,INDUSTRIALS
EURO-SPED-TRANS-CHROM SHPK,MATERIALS
EZ-5 ENERGY SHPK,UTILITIES
KALAJA SHA,ENERGY
TOSK ENERGJI SHA,ENERGY
KUINDA SHPK,CONSUMER STAPLES
ALBANIA TRAVEL TOURS SHPK,CONSUMER DISCRETIONARY
ERJONI SHPK,REAL ESTATE
RELIKAJ SHPK,CONSUMER STAPLES
NEPTUN SHPK,CONSUMER DISCRETIONARY
PROFESSIONAL MARKETING ALBANIA SHPK,INDUSTRIALS
GJYZELI-BLB SHA,ENERGY
ASTRIT KASMI PF,CONSUMER STAPLES
LION CONSTRUCTION SHPK,INDUSTRIALS
ENERGJI SHPK,INDUSTRIALS
EUROIL SHA,ENERGY
PETROLTIR SHPK,ENERGY
ORMARS-2000 SHPK,INDUSTRIALS
REA'S SHPK,CONSUMER STAPLES
TACI OIL COLLATERAL MANAGEMENT,NOT RELEVANT
PARTNER BALLKANIK SHPK,CONSUMER STAPLES
ALBTELECOM SHA,COMMUNICATIONS
EBG GROUP SHPK,CONSUMER DISCRETIONARY
SHAGA SHPK,CONSUMER DISCRETIONARY
DOKO SHPK,INDUSTRIALS
BLOJA SHA,CONSUMER STAPLES
SUBGROUP KASTPETROL,ENERGY
GINGER SHPK,CONSUMER DISCRETIONARY
COIPA INTERNATIONAL SH.A,INDUSTRIALS
RECI KOMPLEKS SHPK,ENERGY
DOMPE ALBANIA SHPK,HEALTH CARE
