name,industry
"SVJ Brno, Coupkovych 2 a 4",REAL ESTATE
EMEXKON S R O,INDUSTRIALS
TEPLOTECHNA OSTRAVA A S,INDUSTRIALS
SUBGROUP CS CARGO CONSOLIDATED,INDUSTRIALS
BNP PARIBAS PERSONAL FINANCE SA ODS,NOT RELEVANT
"ALUFORES, s.r.o.",INDUSTRIALS
Group HARING SNITA,CONSUMER DISCRETIONARY
AGRO CHOCEN A S,INDUSTRIALS
BD Tanvaldska,REAL ESTATE
GALA A S,CONSUMER DISCRETIONARY
TMR JESTED A S,CONSUMER DISCRETIONARY
DEVIMEX S R O,INDUSTRIALS
MOTHERSON SAS AUTOMOTIVE SERVICE CZ,CONSUMER DISCRETIONARY
EF HOLDINGOVA S R O,INDUSTRIALS
SESTRICKA.CZ - DOMACI PECE ZNO,HEALTH CARE
"BOHEMILK, A.S.",CONSUMER STAPLES
SVJ Rumunska 1178,REAL ESTATE
H R U S K A SPOL S R O,CONSUMER STAPLES
SVJ C.P. 547 Zavodu miru KV,REAL ESTATE
"STYROTECHNOLOGY RÝMAROV, S.R.O.",MATERIALS
COMVERGA A S,COMMUNICATIONS
OMAR ABDEL NASSER,NOT RELEVANT
IGS trading s.r.o.,CONSUMER STAPLES
Shoebox Kft.,CONSUMER DISCRETIONARY
KOVACIC PETER,NOT RELEVANT
CZ PRO SERVICE DOUBRAVA A.S. V LIKV,NOT RELEVANT
ZARUBA PETR,NOT RELEVANT
"SV Krivenecka 443,444, Praha 8",REAL ESTATE
K S CZECH REPUBLIC A S,MATERIALS
Avoss s. r. o.,CONSUMER DISCRETIONARY
SVJ Mateje Kopeckeho 4823-4824,REAL ESTATE
AGROWEST A S,INDUSTRIALS
ZAMECNIK PETR,NOT RELEVANT
"ELMOFORGE, A.S. V LIKVIDACI",REAL ESTATE
AYRER LADISLAV,NOT RELEVANT
Group Kasik Josef,MATERIALS
SNOW HOW CR S R O,CONSUMER DISCRETIONARY
TOUAX S R O,INDUSTRIALS
BD Prace,REAL ESTATE
