industry,separate_ending,frequency
REAL ESTATE,SBD,14
REAL ESTATE,SE,28
REAL ESTATE,Sedlo,28
REAL ESTATE,Slavkov,42
REAL ESTATE,Sokolov,42
REAL ESTATE,Srni,14
REAL ESTATE,Stankov,14
REAL ESTATE,Sternberk,14
REAL ESTATE,Steti,14
REAL ESTATE,Stribro,14
REAL ESTATE,Sumperk,42
REAL ESTATE,Teplice,21
REAL ESTATE,Tisnov,14
REAL ESTATE,Touzim,42
REAL ESTATE,Trebon,14
REAL ESTATE,Trutnov,14
REAL ESTATE,Turnov,21
REAL ESTATE,Uh.Brod,14
REAL ESTATE,Unicov,14
REAL ESTATE,V.Bityska,14
REAL ESTATE,V.M.,21
REAL ESTATE,Varnsdorf,14
REAL ESTATE,Vary,14
REAL ESTATE,Velesin,14
REAL ESTATE,Vitkov,14
REAL ESTATE,Vsetin,77
REAL ESTATE,Vyskov,28
REAL ESTATE,Zabreh,21
REAL ESTATE,Zatec,49
REAL ESTATE,Zlin,21
REAL ESTATE,Znojmo,91
REAL ESTATE,a.s.,245
REAL ESTATE,bydleni,14
REAL ESTATE,n.L.,21
REAL ESTATE,n.V.,14
REAL ESTATE,p.R,14
REAL ESTATE,p.R.,98
REAL ESTATE,r.o.,49
REAL ESTATE,s.r.o.,875
REAL ESTATE,v.o.s.,14
UTILITIES,<NONE>,322
UTILITIES,A.S.,91
UTILITIES,CONSOL,14
UTILITIES,CONSOLI,14
UTILITIES,CONSOLID,28
UTILITIES,CONSOLIDATED,70
UTILITIES,L,21
UTILITIES,LIKVIDACI,21
UTILITIES,"LIKVIDACI""",14
UTILITIES,O,532
UTILITIES,S,553
UTILITIES,S.R.O.,161
UTILITIES,SE,14
UTILITIES,a.s.,35
UTILITIES,r.o.,14
UTILITIES,s.r.o.,119
industry,<NONE>,6
