name
"Kocvara Tibor, Ing."
"ALUPLAST - ZH, spol. s r.o."
"Svitek Lubos, Ing."
"Bartunek Anton, RNDr., PhD."
COOP JEDNOTA SLOVENSKO SP DRUZSTVO
KOMO INVEST s.r.o.
"Kollar Zoroslav, JUDr."
"Valky Patrik, Ing."
"VR Investments, s. r. o."
"FERROFON, s.r.o."
Marting s.r.o.
"UNIMEDION, s.r.o."
"Kazik Pavel, MUDr."
Plasticoncept s.r.o.
Stredna odborna skola polygraficka
"Sklenar Ladislav, Ing."
Borsig Pavel
"GEPARD, s.r.o."
"Tripsky Pavel, Ing."
Jasek Juraj
"EXPRESprint, s.r.o."
KOH - I - NOOR HARDTMUTH SLOVENSKO
"Cap Branko, Ing."
Reutter SK s.r.o.
P.K.TECH SYSTEM SLOVAKIA SPOL.S R.O
"Parizek Josef, Ing."
DANUBIAPRINT a.s.
Jan Maruskin - AKTON
"Petrovic Ivan, JUDr."
"Matkovcik Jozef, JUDr."
"I V K, s.r.o."
Hrcka Stefan
"SFS Invest, s.r.o."
G E O H Y C O a.s.
"Lengyel Zsolt, Ing."
Top Pharmex Risnovce spol. s r.o.
"""STOR"""
"Matias Ivan, Ing."
"Koprna Peter, Ing."
"T & M Autohof, s.r.o."
Snierer Ondrej
HARTES S R O
SEZ - TRADE s.r.o.
"Goljer Jan, MUDr., CSc."
"Smajda Albert, Ing."
"Kirinovic Pavel, Ing."
"Munka Jozef, Ing., CSc."
Klimova Ludmila
Rai Bandana
"Gerbel Daniel, Ing., PhD."
"Fischer Dusan, Ing. arch."
"CBCI, spol. s r.o."
"PRÉMUSZ, spol. s.r.o."
Arcidiecezna charita Kosice
"PN Trading, a.s."
WORLD SKY S R O
"VAMEX, a.s., Kosice"
"Krajnak Rudolf, Ing."
MTM Partners s.r.o.
"Hrivnak Roman, Ing."
Novacke chemicke zavody
"Mik Radovan, Ing."
"TIDLY, s.r.o."
HELLA INNENLEUCHTEN
"SCORP, spol. s r.o."
"EUROSTAV-DS, a.s."
"Hajko Peter, Ing."
Spedit MEGA S.r.o
"Bachrata Livia, Ing."
PD DUNAJ
DEMA s.r.o.
"NEPI, spol. s r.o."
"Fecko Artem, Ing."
SKprofile s. r. o. v likvidacii
"Sabo Julius, Ing."
K&K Real Estate V. s.r.o..
Jakub Ilavsky
"Vila Gross, s.r.o."
Kitta Rastislav
Knap Miroslav
LEONTYNE s. r. o.
"EUROVIA CS, a.s.-organizacna zlozka"
"ON Semiconductor Slovakia, a.s."
Kuban Vladimir
"Sutakova Valentina, PhDr., CSc."
Tatar Tomas
"AGRORAMA, s.r.o."
"Ciznar Peter, Ing."
"Bily Lubos, Ing."
"Vysny Jozef, Ing."
Engel Hans-peter-Hermann
"Dr. Fecsu, s.r.o."
"Smerekova Silvia, RNDr."
Stavebniny DEK s.r.o.
"Sedilek Miroslav, Ing."
"Zapotocky Alexander, JUDr."
