name,place_category,frequency
Kuortane,populated place,2
Kuosanlahti,concave shoreline,2
Kuraspuro,stream,2
Kurenpaska,island,2
Kurisjärvi,basin,2
Kurjala,populated place,8
Kurjenneva,marsh,2
Kurjensalmi,strait,2
Kurkela,populated place,20
Kurkilammit,basin,6
Kurkiniemi,convex shoreline,28
Kurkiselkä,populated place,2
Kurrilanjoki,stream,2
Kurskanniemi,convex shoreline,4
Kurtinvaara,populated place,2
Kurtunkallio,elevation,2
Kurunhetto,marsh,2
Kurupään Taimenjärvi,basin,2
Kusinmäki,elevation,2
Kutanranta,populated place,2
Kutemajärvi,populated place,2
Kutinpohjanmäki,elevation,2
Kutkanvuori,elevation,2
Kutsunvaara,populated place,2
Kuukansaari,convex shoreline,2
Kuukkumonsaari,island,2
Kuulila,populated place,2
Kuuperinlahti,concave shoreline,2
Kuupposenlahti,concave shoreline,2
Kuurinniitty,populated place,2
Kuurna,populated place,4
Kuusamojärvi,basin,2
Kuusistonmäki,populated place,2
Kuusivaara,populated place,2
Kuusniemennokka,convex shoreline,2
Kuutinkallio,elevation,2
Kuvansinjoki,stream,2
Kydönsuo,marsh,2
Kylyvaara,elevation,2
Kynsi,island,2
Kyntävaara,populated place,2
Kypärä,elevation,2
Kyrkönmaa,populated place,2
Kyrveskallio,elevation,2
Kyrönneva,marsh,2
Kytänperkko,marsh,2
Kytölot,convex shoreline,2
Kyynärönoja,stream,2
Kyyräsenjärvi,basin,2
Kyyttöpuro,stream,2
Kyörtesselkä,elevation,2
Kägeludden,populated place,2
Käikkö,marsh,1
Käkilahti,populated place,2
Kälkala,populated place,2
Källbyn,populated place,2
Kämpänsuo,marsh,2
Käpylä,populated place,34
Kärkkä,populated place,2
Kärkölä,populated place,4
Kärmeluolanmäki,elevation,4
Kärmerahka,marsh,2
Kärmesnevankytö,marsh,2
Kärppä,populated place,4
Kärpänlampi,basin,4
Kärrby,populated place,4
Kärvois,populated place,2
Kärväsjärvi,populated place,2
Kärysmäki,elevation,2
Kätkänsuusaari,island,2
Kääkänlampi,basin,2
Käänteenoja,stream,4
Kääpäniemi,convex shoreline,4
Käävänkylä,populated place,4
Köhmyri Kalkku,island,2
Könssivuori,elevation,2
Könttärinlahti,basin,2
Köpinkulma,populated place,2
Laajajärvi,basin,2
Laajanvaara,elevation,4
Laaninkylä,populated place,2
Laasola,populated place,6
Lahdenoja,stream,4
Lahdensuunsaari,island,2
Lahnasenlampi,basin,2
Lahoniemi,convex shoreline,4
Laisentiajoki,stream,2
Laisniemi,populated place,2
Laisperänjärvi,basin,2
Laitakari,island,2
Laitaperä,populated place,4
Laitikanlahti,concave shoreline,2
Lakialammi,basin,2
Lakkapäänlahti,concave shoreline,2
Lakkianselkä,concave shoreline,2
Lakmanni,island,2
Lammaslampi,basin,4
Lammasneva,marsh,8
Lammatti,island,2
Lamminahde,elevation,2
Lamminpäänkulma,populated place,2
Lammiste,concave shoreline,2
Lampi,populated place,4
Lampisuonlampi,basin,6
Lampokannanlahti,concave shoreline,2
Lamppi,populated place,2
Lampsijärvi,populated place,2
Lampsinniemi,convex shoreline,4
Lampsinsaari,island,2
Langansböle,populated place,2
Langinmäki,populated place,2
Lapila,populated place,2
Lapinlahti,basin,18
Lappakylä,populated place,2
Lappjoki,populated place,4
Lappnäs,convex shoreline,2
Lapsaari,convex shoreline,2
Lapukkasaari,elevation,1
Lassas,populated place,2
Lassinlahti,concave shoreline,2
Lastensuo,marsh,4
Latomaa,populated place,2
Latosensuo,marsh,2
Latvasenruukki,marsh,2
Laukaa,populated place,2
Laukankorpi,marsh,2
Laukanvuori,elevation,2
Laukinmatala,underwater elevation,2
Laukkulampi,basin,2
Launaskukkulat,elevated area,2
Laurilanperä,populated place,2
Laurinkylät,populated place,2
Lautakota,basin,2
Lauttamusjärvi,basin,2
Lauttamäki,elevation,2
Lauttapohjanlahti,concave shoreline,2
Lauttiankulma,populated place,2
Lavainmäki,elevation,2
Lavannenäke,convex shoreline,2
Lehmilamminsuo,marsh,4
Lehmisaarenkallio,elevation,4
Lehmola,populated place,2
Lehmustinnotko,marsh,2
Lehmälammi,basin,4
Lehtijärvi,basin,4
Lehtimäenkylä,populated place,2
Lehtisaarenneva,marsh,6
Lehtokuja,populated place,2
Lehtolampi,basin,2
